호선,역,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2호선,용답,23,1,"2,378",530,"3,882","1,640","9,189","1,908","15,078","3,079","8,165","2,538","5,490","2,253","4,596","2,665","4,418","2,892","4,558","3,051","3,882","3,421","3,791","4,417","5,005","5,803","4,959","6,990","4,056","12,049","2,575","8,029","1,953","5,690","1,400","6,848","1,117","6,400",520,"3,460",162,"1,132",0,0,0,0,0,0,2025-08-03 10:00:47
2호선,신답,5,0,"1,311",71,"2,334",681,"7,328","1,025","11,789","1,623","4,776",997,"2,603","1,085","2,125","1,201","2,021","1,427","1,793","1,456","1,561","1,969","1,529","2,949","1,922","3,773","1,968","5,167","2,127","10,960",946,"7,044",714,"3,780",515,"4,080",333,"3,114",145,"2,042",31,503,0,0,0,0,0,0,2025-08-03 10:00:47
2호선,신설동,28,0,"1,241",236,"1,834","2,349","5,672","5,860","10,181","13,883","5,894","9,800","5,476","8,205","6,943","7,041","7,807","7,228","7,823","7,574","7,946","6,113","8,138","5,661","9,462","5,211","12,517","6,172","12,974","8,398","4,698","5,812","2,920","4,118","2,380","3,805","1,622","3,637",697,"2,299",119,891,0,148,0,0,0,0,2025-08-03 10:00:47
2호선,도림천,0,0,492,365,"1,523",986,"3,768","3,804","3,905","5,793","2,334","2,608","2,330","1,561","1,905","1,317","2,478","1,904","1,909","1,722","2,340","1,898","2,377","1,762","2,914","2,151","3,195","2,731","4,001","3,810","1,698","3,061","1,136","2,021",974,"1,602",475,"1,221",192,990,49,267,1,9,0,0,0,0,2025-08-03 10:00:47
2호선,양천구청,43,0,"5,295",751,"13,138","2,846","34,357","5,825","31,707","9,847","16,496","5,426","11,421","4,698","9,721","5,361","10,593","7,160","9,539","8,146","7,853","8,553","7,948","10,841","8,761","13,864","9,202","20,151","9,238","31,295","4,204","24,838","3,208","14,628","2,632","13,198","2,234","11,058",768,"7,810",148,"2,384",0,14,0,0,0,0,2025-08-03 10:00:47
2호선,신정네거리,105,0,"9,486",831,"20,108","2,498","53,365","4,978","47,637","12,644","24,974","9,320","17,349","8,282","15,677","8,841","16,066","10,473","14,338","12,563","12,420","13,099","11,826","17,001","13,093","21,758","13,343","32,145","12,153","51,460","7,475","36,787","5,879","21,492","4,738","18,342","3,413","17,539","1,618","10,523",348,"3,090",1,131,0,0,0,0,2025-08-03 10:00:47
2호선,용두(동대문구청),60,3,"1,104",98,"2,066","1,081","6,347","2,865","10,303","6,249","5,966","3,844","4,346","3,717","4,060","3,643","4,308","3,261","4,138","3,812","4,246","4,030","4,882","4,701","4,977","4,935","5,429","6,032","6,054","9,638","2,713","6,292","1,893","3,949","1,730","3,593",904,"2,651",329,"1,703",60,537,1,8,0,0,0,0,2025-08-03 10:00:47
3호선,지축,32,0,"3,395",917,"13,481","5,005","34,260","6,676","34,441","13,492","17,111","8,758","11,339","6,904","9,639","6,785","10,277","8,031","9,924","9,535","9,190","8,755","9,910","10,900","10,984","14,540","13,227","19,171","11,962","33,500","8,028","24,922","6,494","16,562","5,903","14,135","4,353","12,290","2,098","6,818",344,"1,238",0,4,0,0,0,0,2025-08-03 10:00:47
3호선,구파발,124,1,"14,029","1,655","38,488","12,731","92,281","23,349","86,463","30,675","46,741","26,610","32,518","30,355","31,712","29,856","32,455","31,128","31,469","32,177","32,537","32,401","38,358","33,447","43,260","40,717","43,536","50,724","33,707","83,290","23,048","66,317","19,036","37,874","16,455","33,192","12,501","30,969","3,521","21,505",717,"8,551",1,117,0,0,0,0,2025-08-03 10:00:47
3호선,연신내,313,12,"26,816","2,848","53,549","14,730","126,519","30,013","154,513","47,762","87,821","41,785","60,627","37,484","55,932","38,349","59,726","40,500","54,044","44,724","49,821","47,536","52,327","58,266","60,091","68,974","60,111","88,852","59,549","142,752","40,168","112,044","32,818","65,958","28,861","62,454","24,268","52,048","11,850","34,021","2,042","11,466",5,11,0,0,0,0,2025-08-03 10:00:47
